,Psalm,Verse,hebrew_lemmas,septuagint_lemmas,gallican_psalter_lemmas,hebrew_psalter_lemmas
1685,103,13,כורח אב על בן ריחם יהוה על ירא,καθως οἰκτείρω πατέρχομαι υἱός οικτείρω κυριος του φοβέω αυτον,quomodo mitto pater filius misertus sum dominus timeo sui,sicut mitto pater filius misertus sum dominus timeo sui
1686,103,14,כי הוא ידע יצר זכור כי עפר אני,οἴομαι αυτος εγνός τῷς πλάσσω εἶμι μιμνήσκω οἴομαι χοῦς ἕνω,quoniam ipse cognoho figmentum noster recordo sum quoniam pulva sum,ipse enim novo plasmatio noster recordo sum quia pulva sum
1687,103,15,אנוש קץ יום יער שדה כן הציץ,ανθρώπος ὠθέω χορτος ἵημι ὁμερέω αὐτάω ὠθέω ανθος τις αἴγω ουτώς ἐξανατίθημι,homo sicut faenum dies is tamquam flos ager sic effloro,homo quasi herba dies is sicut flos ager sic floro
1688,103,16,כי רוח עבר בו אין לא הכיר עוד מקום,οἴομαι πνέμω διέρχομαι εἶμι αὐτάω καίω οὐχόω υπάρχω καίω οὐκέω επιγνώσκω εἶμι τίνω τοπόω αὐτάω,quoniam spiritus pertranseo in ille et non subsisto et non cognosco ample locus suus,quia spiritus pertranseo is et non subsisto et non cognosco is ultra locus is
1689,103,17,חסד יהוה עולם עד עולם על ירא צדקה בן בן,τῷς δέω ελεος τις κύριος ἕπομαι τις αιών καίω ἐάω τις αιών ἕπομαι του φοβέω αυτον καίω ἠμί δικαιοσυνής αὐτάω ἕπομαι υἱός υεός,misericordia autem dominus ab aeternus et usque in aeternus super timeo is et iustitia ille in filius filius,misericordia autem dominus ab aeternus et usque in aeternus super timeo is et iustitia is in filius filius
1690,103,18,שומר ברית זכר פקד נעשה,ὁ φυλάσσω τημ διαθηκή αὐτάω καίω μιμνήσκω τίνω εντολών αὐτάω τις ποιέω αὐτός,hic qui servo testamentum is et memus sum mandatum ipse ad facio is,hic qui custodio pacio is et recordo praecipio is ad facio is
1691,103,19,יהוה שמיים הכין כיסא מלכות כול של,κυριος εἶμι τίω ουρανω ἑτοιμάζω τίνω θρονός αὐτάω καίω ἠμί βασιλεια αὐτάω πᾶς δεσπόζω,dominus in caelum para sedes suus et regnum ipse omnis dominor,dominus in caelum stabilio thronus suus et regnum ille omnis dominor
1692,103,20,בירך יהוה מלאך גבר כוח עשה דבר שמע קול דבר,εὐλογέομαι τίνω κυριός παντάω οἶδα αγγελός αὐτάω δυνατός ἵσχω ποιέω τίνω λογός αὐτάω τις ἥκω ὁ φωνή τίνω λογέω αὐτάω,benedico dominus angelus is possum virtus facio verbum ille ad audio vocus sermo is,benedico dominus angelus is fortis robur facio verbum is oboedio vocus sermo is
1693,103,21,בירך יהוה כל צבא משרת עושה רצון,εὐλογέομαι τίνω κυριός πατέομαι ἵημι δυναμεύς αὐτάω λειτουργός αὐτάω ποιέω τῷς ἐθέλω αὐτάω,benedico dominus omnis virtus is minister is qui facio voluntas is,benedico dominus omnis exercitus is minister is qui facio placeo ille
1694,103,22,בירך יהוה כל מעשה כל מקמות ממשלה ברך נפש את יהוה,εὐλογέομαι τίνω κυριός παντάω τῷ ἔργω αὐτάω εἶμι παντίζω τοπόω ὁ δεσπότεια αὐτάω εὑλομέω ἠμί ψυχη ἐγώ τίνω κυριός,benedico dominus omnis opus is in omnis locus dominatio ipse benedico anima meus dominus,benedico dominus universus opus is in omnis locus potestas is benedico anima meus dominus
1695,104,1,ברך נפש את יהוה יהוה אלוהים גידל מאוד הוד הדר לבש,τίω δαυιδάω εὑλομέω ἠμί ψυχη ἐγώ τίνω κυριός κυρίω ὁ θεος ἐγώ εμεγαλύω σφοδράω ἔομαι καίω ευπρεπεῖος εἰνδύνω,ipse davida benedico anima meus dominus dominus deus meus magnifico sum vehementer confessio et decor induo,benedico anima meus dominus dominus deus meus magnifico sum nimis gloria et decor induo sum
1696,104,2,עטה אור שלמה נוטה שמיים כיריעה,αναβάλλω φως οἰδα ιματιον ἑκτείνω τίνω ουρανός ὠθέω δέρρομαι,amicio lumen sicut vestimentum extendo caelum sicut pellis,amicio lux quasi vestimentum extendo caelum ut pellis
1697,104,3,מקרה מים עלייה שם עבה רכוב מהלך על כנף רוח,ὁ στεγάζω εἶμι υδός τῷ υπερωός αὐτάω ὁ τίθημι ναίνω τημ επείβω αὐτάω ὁ περίπημαι ἕπομαι πτερύγω ἄνεμος,qui tego in aquus superior is qui pono nubem ascensus tuus qui ambulo super pinna ventus,qui tego aquus cenaculum is qui pono nubes currum tuus qui ambulo super pinna vens
1698,104,4,עשה מלאך רוח משרת אש להט,ὁ ποιέω του ἄγγελος αὐτάω πνευμάς καίω του λειτούργος αὐτάω πύρω φλέγω,qui facio angelus tuus spiritus et minister tuus ignis uro,qui facio angelus tuus spiritus minister tuus ignis uro
1699,104,5,ייסד ארץ על מכון בל תמוט עולם ועד,ἑθελιόω τημ γαίνω ἕπομαι τημ ασφαλεία αυτός οὐδόω κλίνω ἐίω τίνω αιών τις αιών,qui fundo terra super stabilitas suus non inclino in saeculum saeculum,qui fundo terra super bas suus non commoveo in saeculum et in saeculum
1700,104,6,תהום לבוש כסיתו על הר עמד מים,αβυσσος οἰδα ιματιον τῷς περιβολαιός αὐτάω ἕπομαι τίνω Ὥρος ἵστημι υδατός,abyssus sicut vestimentum amicio is super mons sto aqua,abyssus quasi vestimentum operio is super mons sto aqua
1701,104,7,מן גערתך ינוסון מן קול רע יחפזון,ἕπομαι επιτιμέσης σύ φεύγω ἕπομαι φωνή βροντης σύ δειλιάω,ab increpatio tuus fugio ab vocus tonitruum tuus formido,ab increpatio tuus fugio ab vocus tonitruum tuus formido
1702,104,8,העלה הר ירד בקעה אל מקום זה ייסד להם,αναβαίνω ὁράω καίω καταβαίνω πεδίομαι ἐίω τοπόω ος εθεμελιώνης αὐτός,ascendo mons et descendo campus in locus qui fundo is,ascendo mons et descendo campus ad locus qui fundo is
1703,104,9,גבול מת בל עבר בל ישוב כיסה ארץ,ὁρίω ἕθομαι ὁ οὐδόω παρελεύσσω οὐδόω επιστρέφω καλύπτω τημ γαίνω,terminus pono qui non transgredior neque converto operio terra,terminus pono qui non pertranseo nec reverto ut operio terra
1704,104,10,משלח עין נחל בין הר הילל,ὁ εξαποστέλλω πηγή εἶμι φαραγή ἄνάω μέσω τίνω Ὥρος διέρχομαι υδατός,qui emitto fons in convallus inter medius mons pertranseo aqua,qui emitto fons in convallus ut inter medius mons fluo
1705,104,11,השקה כל חיה שדי נשבר פרא צמא,ποτιόω παντάω τῷ θηρίον τις αἴγω προσδέχομαι ὅναγρος ἐίω δίδωμι αὐτός,poto omnis bestia ager exspecto onagr in situs suus,ut bibo omnis animal regio et reficio onager sitis suus
1706,104,12,על עוף שמיים ישכון מבין עפאים נתן קול,εἶπον οὐτάω τῷ πετεινός τις οὐρανός κατασκηνόω ἵημι μέσοω τίνω πετρός δίδωμι φωνή,super is volucer caelum habito de medius petra do vocus,super is volucer caelum moror de medius nemerus do vocus
1707,104,13,השקה הר עלייה פרי מעשה הריע ארץ,ποτίζω ὁράω ἵημι τίνω υπέραος αὐτάω ἕπομαι καρπός τίνω ἔργω σύ χορτάζω ἠμί γαίνω,rigo mons de superior suus de fructus opus tuus satio terra,qui inrigo mons de cenaculum tuus de fructus opus tuus impleo terra
1708,104,14,מצמיח חציר בהמה עשב עיבד אדם הוציא לחם מן ארץ,εξανατέλλος χορτός ὁ κτέομαι καίω χλόη τῆ δουλείω τίνω ἄνθρωπος τις ἐάγω ἥρτος ἵημι ὁ γης,produco faenum iumentum et herba servitus homo ut educo panis de terra,germino herba iumentum et faenum servitus homo ut educo panis de terra
1709,104,15,יין שימח לבב אנוש להצהיל פן שמן לחם לבב אנוש יסעד,καίω οινος ευφραίνω καραίνω ἄνθρωπος τις ιλαρυνός προσόπτω εἶμι ελαιω καίω αρτος καραίνω ἄνθρωπος στηρίζω,et vinum laetifico cor homo ut exhilo facies in oleum et panis cor homo confirmo,et vinum laetifico cor homo ad exhilaro facies oleum panis autem cor homo roboro
1710,104,16,השביע עץ יהוה ארז לבנון אשר נטע,χορτάζω τῷ σύλω τις πεδίομαι ἵημι κεδρός τις λιβάνω εἷς εφυτεύω,saturor lignum campus et cedrum liban qui planto,saturor lignum dominus cedrum liban qui planto
1711,104,17,אשר שם ציפור יקננו חסידה ברוש בית,εἴκω στρουθια ἑνοσσεύω τις ερωδῖος ἠμί οἰκίζω ἡγέομαι αὐτός,illic passer nidifico erodium domus dux sum is,ibi avis nidifico mileum abies domus is
1712,104,18,הר גובה יעל סלע מחסה שפן,ὁράω τῷ οἰψαίρω ὁ λαμβάνω πετράω καταφυγη ὁ χοιρογρύλλιος,mons excello cervus petra refugium erinacium,mons excello cervus petra refugium ericio
1713,104,19,עשה ירח מועד שמש ידע מבוא,ποιέω σεληνή ἐίω καῖρος ὁ ηλιος εγνός τημ δύω αὐτάω,facio luna in tempus sol cognoho occasus suus,facio luna per tempus sol cognoho occubo suus
1714,104,20,תשת חשך היי לילה בו תרמש כל חית יער,ἕθομαι σκοτος καίω ἵημι νύξω εἶμι οὐτάω διέρχομαι παντάω τῷ θηρίον τις δρύω,pono tenebra et facio sum nox in ipse pertranseo omnis bestia silva,pono tenebra et facio sum nox in ipse movo omnis bestia silva
1715,104,21,הכפירים שאג טרף ביקש מאל אוכל,σκύμνος ὁρύω αἱρπάζω καίω ζητέω πάρειμι τις θέω βρώς αὐτός,catulus leonum rugio ut rapio et quaero ab deus esca sui,leor rugio ad praeda et quaero ab deus esca sui
1716,104,22,תזרח שמש נאסף אל עונה ירבצון,ἀνατέλλω ὁ ηλιος καίω συνίγνυμι καίω εἶμι ὁ μανδρός αὐτός κοιτάω,ortus sum sol et congrego sum et in cubilis suus conloco,orior sol recedo et in speluncus suus cubo
1717,104,23,הוציא אדם פועל עיבד עד ערב,εξελεύδω ανθρώπος ἕπομαι τῷς ἔργω αὐτάω καίω ἕπομαι τημ εργασιά αὐτάω ἐάω εσπερας,exeo homo ad opus suus et ad operatio suus usque ad vesper,egredior homo ad opus suus et ad servitus suus usque ad vespera
1718,104,24,מה רב מעשה יהוה כול חוכמה עשית מלאה ארץ קניין,οἰδα ἑμεγαλύω τῷ ἔργω σύ κυρίω παντάω εἶμι σοφιος εποιέω επληράω ἠμί γαίνω ὁ κτῆσις σύ,quam magnifico sum opus tuus dominus omnis in sapientia facio impleo sum terra possessio tuus,quam multus sum opus tuus dominus omnis in sapientia facio impleo sum terra possessio tuus
1719,104,25,זה ים גדול רחב יד שם רמש אין מספר חיות קטן עם גדלות,οὐτάω ἠμί θλάσσω ἠμί μέλω καίω ευρυχωρος εἴκω ἔρπω οἴομαι οὐκέω εἰσίζω αριθμος ζάω μίγνυμι μεθίημι μέγας,hic mare magnus et spatiosus manus illic reptilis qui non sum numerus animal pusillus cum magnus,hic mare magnus et latus manus ibi reptilis innumerabilis animal parrus cum grandus
1720,104,26,שם אונייה הילך לויתן זה יצור שיחק בו,εἴκω πλοίημι διαπορεύω δρακων ουτος ος λαμθάνω εμπαίζω αὐτάω,illic navis pertranseo dracus iste qui formo ad inludo is,ibi navis pertranseo leviatho iste plasmo ut inludo is
1721,104,27,כול אל שבר נתן אוכל עת,παντάω πρόστημι σύ προσδοκάω δόνυ τημ τροφέω αὐτός ευκαιρός,omnis ab tu exspecto ut do ille esca in tempus,omnis in tu spero ut do cibus is in tempus suus
1722,104,28,השאיר להם ילקטון נפתח יד ישבעון טוב,δοντος σύ αὐτός συλλέγω αἴνω δέω σύ τημ χείρ τῷ συμπαίνω πίμπλημι χρηστοτητος,do tu ille colligo aperio tu manus tuus omnis impleo bonitas,do tu ille colligo aperio manus tuus repleo bonum
1723,104,29,הסתיר פנים יבהלון תסף רוח יגועון אל עפר ישוב,αποστρέφω δέω σύ τῷς προσόπτω ταράσσω αντανελέις τῷς πνέμω αὐτός καίω εκλείπω καίω ἐίω τίνω χώ αὐτός επιστρέφω,averto autem tu facies turbo aufero spiritus is et deficio et in pulver suus reverto,abscondo vultus tuus et turbo aufero spiritus is et deficio et in pulver suus reverto
1724,104,30,תשלח רוח יבראון חידש פן אדמה,εξαποστελεύς τῷς πνέμω σύ καίω κτίζω καίω ανακαινίος τῷς προσόπτω ὁ γης,emitto spiritus tuus et creo et renovo facies terra,emitto spiritus tuus et creo et instauro facies terra
1725,104,31,היי כבוד יהוה לעולם שימח יהוה מעשה,εἶμι ἠμί δοκέω κύριος ἐίω τίνω αιών ευφραίνω κυριος ἕπομαι ὁ ἔργω αὐτάω,sum gloria dominus in saeculum laeto dominus in opus suus,sum gloria dominus in sempiternus laeto dominus in opus suus
1726,104,32,מביט ארץ צועד יגע הר ויעש,ὁ επιβλέπω ἕπομαι τημ γαίνω καίω ποιέω ἑαυτοῦ τρέμω ὁ ἅπτω τίνω Ὥρος καίω καπνίζω,qui respicio terra et facio is tremer qui tango mons et fumigo,qui respicio terra et tremet tango mons et fumoro
1727,104,33,זימר יהוה חי זימר אלוהים עוד,ἵημι τίω κυριω εἶμι τῆ ζῶ ἐγώ ψάλλω τίω θέω ἐγώ ἐάω υπαρχω,canto dominus in vita meus psallo deus meus quamdiu sum,canto dominus in vita meus psallo deus quamdiu sum
1728,104,34,עירב על שיח אני אשמח יראה,ηδυνθειη αὐτάω ἠμί διαλογέομαι ἐγώ εγω δέω ευφραίνω ἕπομαι τίω κυριω,iucundus sum is eloquium meus ego vero delecto in dominus,placeo is eloquium meus ego autem laeto in dominus
1729,104,35,יתמו חטא מן ארץ רשע עוד אין ברך נפש את יהוה אלה יה,εκλιπός αμαρτωλός ἕπομαι ὁ γης καίω ανομός ὠθέω μή υπαρχεύς αὐτός εὑλομέω ἠμί ψυχη ἐγώ τίνω κυριός,deficio peccator ab terra et iniquis ita ut non sum benedico anima meus dominus,deficio peccator de terra et impius ultra non sum benedico anima meus dominus
1730,105,1,הודה יהוה קרא שם הודיע עם עלילה,αλληλουιος εἰομολογέω τίω κυριω καίω επικαλέω τῷς οἰνόω αὐτάω ἀπαγγέλλω εἶμι ὁ εἶμι τῷ ἔργω αὐτάω,alleluo confiteor dominus et invoco nomen is adnuntio inter gens opus is,alleluo confiteor dominus invoco nomen is nosco facio populus cogitatio is
1731,105,2,שיר לו זימר לו שיח כל נפלאות,ἵημι αὐτάω καίω ψάλλομαι αὐτάω διηγέομαι παντάω τῷ θαυμάσιος αὐτάω,canto is et psallo is narro omnis mirabilis is,canio is et psallo ille loquor in universus mirabilis is
1732,105,3,התהללו שם קודש שימח לב מבקש יהוה,επαινέω εἶμι τίω οἰνόω τίω αἰγέω αὐτάω ευφραίνω καρδίνω ζητέω τίνω κυριός,laudo in nomen sanctus is laeto cor quaero dominus,exsulto in nomen sanctus is laeto cor quaero dominus
1733,105,4,דרש יהוה עז ביקש פן תמיד,ζητέω τίνω κυριός καίω κραταιός ζητέω τῷς προσόπτω αὐτάω δίω παντος,quaero dominus et confirmo quaero facies is semper,quaero dominus et virtus is quaero facies is iugiter
1734,105,5,זכר נפלאות אשר עשה שפן משפט פה,μιμνήσκω τίνω θαυμάσιος αὐτάω οἴομαι ποιέω τῷ τείνω αὐτάω καίω τῷ κρίνω τις στομα αὐτάω,memento mirabilis is qui facio prodigium is et iudicium oris is,recordo mirabilis is qui facio signum et iudicium oris is
1735,105,6,זרע אברהם עיבד בן יעקב בחיר,σπέρμω αἱρέω δουλός αὐτάω υἱός ἱκνέομαι εἰκλέγω αὐτάω,semen abraham servus is filius iacob eligo is,semen abraham servus is filius iacob eligo is
1736,105,7,הוא יהוה אלוהים כול ארץ משפט,αυτος κυριος ὁ θεος εἶμι εἶμι πατέω τῆ γαίνω τῷ κρίνω αὐτάω,ipse dominus deus noster in universus terra iudicium is,ipse dominus deus noster in universus terra iudicium is
1737,105,8,זכר לעולם ברית דבר ציוה אלף דור,εμνάομαι ἐίω τίνω αιών διαθηκή αὐτάω λογέω οὐδόω εἰντέλλω ἐίω χίλιοι γενεά,memor sum in saeculum testamentum sui verbum quod mando in mille generatio,recordo sum in aeternus pactus sui verbum quod praecipio in mille generatio
1738,105,9,אשר כרת את אברהם שבועה יצחק,ος διατίθημι τίω αἱρέω καίω τις ορκος αὐτάω τίω οἶδα,quod dispono ad abraham et iuramentum sui ad isaac,quod pepigo cum abraham et iuramentum sui cum isaac
1739,105,10,העמיד יעקב חוקה ישראל ברית עולם,καίω ἵστημι ἑαυτοῦ τίω ἱκνέομαι ἐίω προστάγω καίω τίω ισραηλ διαθηκή αιωνιος,et statuo ille iacob in praeceptum et israhel in testamentum aeternus,et firmo ille cum iacob in lex cum israhel pacio sempiternus
1740,105,11,הגיד לי אני את ארץ כנען חבל נחלה,λέγω σύ δίδωμι τημ γαίνω χαίνω σχοινισμα κληρονομιά ὦμος,dico tu do terra chanaa funiculum hereditas vester,dico tu do terra chanaa funiculum hereditas vester
1741,105,12,היות מתים מספר כמעט גר את,εἶμι τίω εἶμι αὐτός αρίθμαμαι βραχεις ολιγόστων καίω παρύκους εἶμι οὐτάω,cum sum numero brex paucus et incola is,cum sum virus paucus modicus et advena in is
1742,105,13,ויתהלכו גוי אל גוי ממלכה אל עם אחר,καίω διέρχομαι ἐκ εἶνον ἐίω ἕννυμι ἵημι βασιλεία ἐίω λαός ἐτερόω,et pertranseo de gens in gens et de regnum ad populus alter,et transeo de gens in gens de regnum ad populus alter
1743,105,14,לא הניח אדם עושק נפקד על מלך,οὐκέω ἵφαμαι ανθρώπος αδικάω αὐτός καίω ἀλέγγω ὀπέρω αὐτός βασιλεύς,non relinquo homo noceo is et corripeo pro is rex,non dimitto homo ut noceo is et corripeo pro is rex
1744,105,15,אל תגע משיח נביא אל תרעו,μή ἕπτω τίνω χρίζω ἐγώ καίω εἶμι ὁ προφητός ἐγώ μή πονερεύομαι,nolo tango christos meus et in propheta meus nolo maligno,nolo tango christos meus et propheta meus nolo adfligo
1745,105,16,ויקרא רעב על ארץ כול מטה לחם שבר,καίω καλέω λιμός ἕπομαι τημ γαίνω πᾶντω στηρίζω ἥρχομαι συμτρίβω,et vocavo fames super terra omnis firmamentum panis contriho,et vocavo fames super terra omnis virga panis contriho
1746,105,17,שלח לפני איש עבד נמכר יוסף,ἀποστέλλω ἕρπω αὐτός ανθρώπος ἐίω δουλέω πράθημαι Μωσή,mitto ante is virus in servus venundo sum ioseph,mitto ante facies is virus in servus venundo sum ioseph
1747,105,18,עניו כבל רגל ברזל בא נפש,ἑταπεινόω εἶμι πεδα του πούς αὐτάω σιδήρων διέρχομαι ἠμί ψυχη αὐτάω,humiligo in conpedium pes is ferrum pertranseo anima is,adfligo in conpedio pes is in ferrum vigo anima is
1748,105,19,עד עת בא דיבר אמרה יהוה צרפתהו,μεχρι τις ἔρχομαι τίνω λογός αὐτάω τῷς λογιός κύριος επυρόω αυτον,donec venio verbum is eloquium dominus inflammo is,usque ad tempus donec venio sermo is eloquium dominus probo is
1749,105,20,שלח מלך שיור של עם יפתח,ἀποστέλλω βασιλεύς καίω λύω αυτον αρχων λαων καίω ἵφαμαι αυτον,mitto rex et soleo is princeps populus et dimitto is,mitto rex et soleo is princeps populus et dimitto ille
1750,105,21,שם אדון בית משל כל קניין,καθίστημι αυτον κυριός τις ἔκω αὐτάω καίω αρχος πατέημι ὁ κτῆσις αὐτάω,constituo is dominus domus suus et princeps omnis possessio suus,pono is dominus domus suus et princeps in omnis possessio suus
1751,105,22,לאסר שר נפש זקן יחכם,τις παιδεύσης του ἄρχω αὐτάω οἰδα εαυτος καίω του πρέσβυς αὐτάω σοφίζω,ut erudio princeps is sicut semet ipse et senes is prudentia doceo,ut erudio princeps is secundum voluntas suus et senes is sapientia doceo
1752,105,23,הביא ישראל מצרים יעקב גר ארץ חם,καίω εἰσέρχομαι ισραηλ ἐίω αιγυπτός καίω ἱκνέομαι παρωκέω εἶμι γαίνω χάω,et intraho israhel in aegyptus et iacob accolus sum in terra cha,et ingredior sum israhel aegyptus et iacob advena sum in terra ham
1753,105,24,הפר את עם מאוד העצים מצר,καίω οὐξάω τίνω λαός αὐτάω σφοδράω καίω εκραταιώσσος αυτον ὀπέρω του εχθρός αὐτάω,et auxio populus is vehementer et firmo is super inimicus is,et cresco facio populus suus nimis et roboro is super hoss is
1754,105,25,הפך לב שונא עם להתנכל עבד,μεταστρέφω τημ καραίνω αὐτός τις μισέω τίνω λαός αὐτάω τις δολιέω εἶμι ὁ δοῦλος αὐτάω,converto cor is ut odi populus is ut dolum facio in servus is,converto cor is ut odium habeo populus is ut dolos ago contra servus ille
1755,105,26,שלח משה עבד אהרן אשר נבחר מן,εξαπεστέλλω μωύς τίνω δουλέω αὐτάω εὑρίσκω ος ἐλέγω αυτον,mitto mos servus suus aaron qui eligo ipse,mitto mos servus suus aaron qui eligo sui
1756,105,27,שם בם דבר אתותיו מפתה ארץ חם,ἵθομαι εἶμι αὐτός του λογός τίνω σημέω αὐτάω καίω τίνω τείρω εἶμι γαίνω χάω,pono in is verba signum suus et prodigium in terra cha,pono in is verba signum suus et portentus in terra ham
1757,105,28,שלח חשך ויחשך לא מרו את דבר,εξαπεστέλλω σκοτος καίω ἵσκω καίω παραπικράσκω του λογός αὐτάω,mitto tenebra et obscurahio et non exacerbavo sermo suus,mitto tenebra et contenebro et non sum incredulus verbum is
1758,105,29,הפך את מים דם המית את דג,μεταστρέφω τῷ υδατός αὐτός ἐίω αίμαι καίω αἰποκτείνω του ιχθύς αὐτός,converto aqua is in sanguis et occido pisces is,commuto aqua is in sanguis et occido pisces is
1759,105,30,שרץ ארץ צפרדע חדר מלכיה,ἐξείργω ἠμί γαίνω αὐτός βάτραχος εἶμι ὁ ταμιέιος τίνω βασιλεύς αὐτός,do terra is rana in penetrabilis rex ipse,ebullego terra is rana in cubiculum rex is
1760,105,31,אמר הביא ערב כנים כול גבול,εἶπον καίω ἔρχομαι κυνομυια καίω σκνίπτω εἶμι παίνω ὁ ὄριος αὐτός,dico et vigo cynomia et scinifis in omnis finis is,dico et vigo musca omnimodus scinifis in universus terminus is
1761,105,32,נתן גשם ברד אש להבה ארץ,ἵθομαι ὁ βροχή αὐτός χαλαζός πύρω καταφλέγω εἶμι τῆ γαίνω αὐτός,pono pluvia is grando ignis conburo in terra ipse,do pluvia is grando ignis flammo in terra is
1762,105,33,ויך גפן תאנה וישבר עץ גבול,καίω ἑπατάσσω ὁ αμπελός αὐτός καίω ὁ συκάω αὐτός καίω συμτρίβω πᾶντω σύλω ὀρίω αὐτός,et percudo vinia is et ficulnis is et contriho lignum finis is,et percudo vinea is et ficus is et confrago lignum finis is
1763,105,34,אמר הביא הרבה וילק אין מספר,εἶπον καίω ἔρχομαι ακρις καίω βρουχος οὐδόω οὐκέω ἠμί αριθμος,dico et vigo lucusta et bruchus qui non sum numerus,dico et vigo lucusta et bruchus qui non sum numerus
1764,105,35,נאכל כל עשב ארץ נאכל פרי אדמה,καίω καταφαγίζω παντάω τίνω χορτός εἶμι τῆ γαίνω αὐτός καίω καταφαγίζω τίνω καρπός ὁ γης αὐτός,et comedo omnis faenum in terra is et comedo omnis fructus terra is,et comedo omnis faenum terra is et devoraho fructus terra is
1765,105,36,ויך כל בכור ארץ ראשית כול אוון,καίω ἑπατάσσω πᾶντω πρωτότοκος εἶμι τῆ γαίνω αὐτός απαρχή παντος πονέω αὐτός,et percudo omnis primogenitus in terra is primitiae omnis labor is,et percudo omnis primogenitus in terra is primitiae universus partus is
1766,105,37,הוציא כסף זהב אין שבט כושל,καίω ἐάω αὐτός εἶμι αργυριω καίω χρυσιω καίω οὐκέω ἠμί εἶμι ὁ φυλά αὐτός ασθενής,et educo is in argentum et aurum et non sum in trebus is infirmus,et educo is cum argentum et aurum et non sum in trebus is infirmus
1767,105,38,שמח מצרים יציאה כי נפל פחד על,ευφραίνω αιγυπτος εἶμι τῆ εξοδω αὐτός οἴομαι πίπτω ὁ φοβος αὐτός εἶπον αὐτός,laeto sum aegyptus in profectio is quia incubuo timor is super is,laeto sum aegyptus cum egredior quoniam inruero terror is super is
1768,105,39,פרש ענן מסך אש האיר לילה,διαπετάννυμι νεφελή ἐίω σκέπτομαι αὐτός καίω πύρω τις φωτίζομαι αὐτός τημ οὐκτάω,expando nubem in protectio is et ignis ut luceo is per nox,expando nubem in tentorius et ignis ut luceo nox
1769,105,40,שאל הביא של לחם שמיים ניחם,ἵτω καίω ἔρχομαι ὀρτύω καίω ἥρτος οὐρανός ἐνπίμπλημι αὐτός,petio et vigo coturnix et panis caelum saturo is,petio et adduco ortygometran et panis caelestis saturo is
1770,105,41,פתח צור ויזובו מים הלך ציות נהר,διαρρήγνυμι πίμπρημι καίω ἐρύω υδατός επορεύω εἶμι ανύδρα ποταμός,disrupo petra et fluo aqua abeo in siccus flumen,aperio petra et fluo aqua cucurro in aridus flumen
1771,105,42,כי זכר את דבר קודש את אברהם עבד,οἴομαι εμνάομαι τις λογέω τις ἄγιος αὐτάω τις πρόστημι αἱρέω τίνω δουλέω αὐτάω,quoniam memor sum verbum sanctus sui quod habeo ad abraham puer suus,quia recordo sum verbum sanctus sui cum abraham servo suus
1772,105,43,יוצא עם ששון רינה את בחיר,καίω ἐάω τίνω λαός αὐτάω εἶμι αγαλλίσσω καίω του εκλέκτος αὐτάω εἶμι ευφροσυνής,et educo populus suus in exultatio et eligo suus in laetitia,et educo populus suus in laetitia laudo eligo suus
1773,105,44,ויתן להם ארץ גוי עמל אם ירש,καίω εἶδον αὐτός χωρή εἶμι καίω ποῖος λαων εκληρονονομής,et do ille regio gens et labor populus possum,et do is terra gens et labor tribus possum
1774,105,45,בעבור שמר חוק תורה שימר אלה יה,οπως ἄἱς φυλάσσω τῷ δικαιώματος αὐτάω καίω τίνω νομός αὐτάω εκζάνω,ut custodio iustificatio is et lex is requiro,ut custodio caerimonium is et lex is servo alleluo
1775,106,1,הללויה הודה יהוה כי טוב כי לעולם חסד,αλληλουιος εἰομολογέω τίω κυριω οἴομαι χρηστος οἴομαι ἐίω τίνω αιών τῷς ελεος αὐτάω,alleluo confiteor dominus quoniam bonus quoniam in saeculum misericordia is,alleluo confiteor dominus quoniam bonus quoniam in aeternus misericordia is
1776,106,2,מי חולל גבור יהוה השמיע כל תהילה,τις λάσκω ὁ δυναστεία τις κύριος ακουστής ποιέω πατέω ὁ αἰνέω αὐτάω,quis loquor potentia dominus audio facio omnis laus is,quis loquor fortitudo dominus audio facio omnis laus is
1777,106,3,אשרי שומר משפט עשה צדקה כול עת,μακαριός οἶδα φυλάσσω κρίνω καίω ποιέω δικαιόσυνος εἶμι παντίζω καιρω,beatus qui custodio iudicium et facio iustitia in omnis tempus,beatus qui custodio iudicium et facio iustitia in omnis tempus
1778,106,4,זכר יהוה רצון עם פקד ישועה,μιμνήσκω εἶμι κυρίω εἶμι τῆ εὐδοκίζω τις λαός σύ επίσκω ημας εἶμι τίω σωτερίζω σύ,memini noster dominus in beneplacitus populus tuus video nos in salutaris tuus,recordo meus dominus in repropitiatio populus tuus video ego in salutaris tuus
1779,106,5,ראה טוב בחיר שימח שמחה גוי להתהלל עם נחלה,τις εἶδον εἶμι τῆ χρηστοτής τίνω εκλεκτός σύ τις ευφραίνω εἶμι τῆ ευφροσυνής τις εἶνον σύ τις επαινέω μεθίημι ὁ κληρονομιά σύ,ad vido in bonitas eligo tuus ad laeto in laetitia gens tuus et laudo cum hereditas tuus,ut video bonum eligo tuus et laeto in laetitia gens tuus et exultis cum hereditas tuus
1780,106,6,חטא עם אב העוינו הרשענו,ἁμαρτάνω μεθίημι τίνω πατέρω εἶμι οἰνόω δικάω,pecco cum pater noster iniuste egio iniquitas facio,pecco cum pater noster inique facio impie egio
